title,url,english_title,author,publisher,publication_date,selling_price,original_price,discount_rate,sales_index,review_count,rating,tags,description
LLM을 위한 프롬프트 엔지니어링,https://www.yes24.com/product/goods/170504549,"LLM 구조 이해부터 프롬프트 전략, 대화형 에이전트 설계, 성과 평가까지",존 베리먼,제이펍,2026년 01월,25200,28000,10.0,2706,5,9.6,,"LLM을 지배하는 건 코드가 아니라 프롬프트다 결과물 중심의 접근과 달리 프롬프트 엔지니어링 자체를 깊이 있게 탐구한 실전 가이드다. LLM의 구조와 작동 원리, 효과적인 프롬프트 설계 기법, 대화형 워크플로 구..."
AI 게임 개발 with 코덱스,https://www.yes24.com/product/goods/177187498,"혼자서도 프로처럼 AI 팀원과 캐릭터 제작부터 음원, 코딩, 배포, 수익화까지",정윤지(유리링),한빛미디어,2026년 02월,28800,32000,10.0,840,3,10.0,,"코딩 몰라도 OK, 혼자서 '뱀서'급 게임 완성? AI와 함께라면 가능!혼자서도 프로처럼 AI 팀원과 캐릭터 제작부터 음원, 코딩, 배포, 수익화까지베테랑 게임 기획자 ‘유리링’이 알려 주는 혼자서도 팀처럼 AI를 다..."
교사를 위한 패들렛 Padlet,https://www.yes24.com/product/goods/143786416,기초부터 심화까지/학생참여형수업/샌드박스/패들렛AI/템플릿 및 기능별 수업 활용 사례,안익재,앤써북,2025년 03월,15120,16800,10.0,17106,47,10.0,,『교사를 위한 패들렛 Padlet』은 유치원·어린이집 및 초·중·고 교사가 수업에 즉시 활용할 수 있는 패들렛 수업 활용 방법을 소개하는 실전 활용서이다. 패들렛 기본 기능부터 교사가 알아두면 유용한 심화 기능까...
"2026 빠르게 따는 SQLD(1권(이론)+2권(빈출 족보+기출&모의고사) 분권, 웹 CBT(PC/모바일) 제공, 시험 직전 Live 빠따 특강)",https://www.yes24.com/product/goods/174682218,SQL 개발자,이유성,골든래빗,2026년 01월,21600,24000,10.0,1452,15,10.0,,"* 비전공자도, 노베이스도 빠르게 따자!* 책 + 특강 + CBT + 카페 + 단톡까지* 확실한 합격으로 안내하는 SQLD 합격 토탈 전략 패키지SQL 개발자(SQLD) 자격증 취득을 고민하고 계신가요? 『2026 빠르게 따는 SQLD』..."
AI 디자인 활용백과,https://www.yes24.com/product/goods/175122641,내가 원하는 이미지를 뽑기 위한 미드저니&챗GPT&나노바나나 디자인 워크북!,채시은,스마트북스,2026년 01월,22500,25000,10.0,1395,1,10.0,,내가 원하는 이미지를 뽑기 위한미드저니&챗GPT&나노바나나 디자인 워크북!회사원 PPT 이미지부터 패션 디자인까지 아이디어만 있으면 OK!다양한 기업들이 러브콜 보낸 AI 강의가 책으로 나왔다. 『AI 디자인 활용백...
요즘 바이브 코딩 코덱스 완벽 가이드,https://www.yes24.com/product/goods/175110068,"인공지능 코딩, AI 에이전트, 프롬프트 엔지니어링, 컨텍스트 엔지니어링, AGENTS.md, PRD, 코덱스 클라우드, 수파베이스, Spec Kit 워크플로, 토큰 최적화, 배포, v0, 스킬, 고급 사용법, 오픈라우터",윤재원,골든래빗,2026년 02월,25200,28000,10.0,1245,17,10.0,,"* 진짜 개발자는 코덱스를 어떻게 사용할까? 진짜 개발자의 노하우를 배워보자!* 이론부터 구현까지 빠르고 탄탄하게, 코덱스로 완성하는 실전 바이브 코딩! * 초보자가 놓치기 쉬운 프롬프트 엔지니어링의 기초부터..."
MCP 실전 활용 & 서버 개발 핵심 가이드,https://www.yes24.com/product/goods/162224477,"MCP 기초와 서버 활용법부터 데이터 분석, AI 비서, 주식 거래를 위한 MCP 서버 구축까지",AI튜터랩,위키북스,2025년 11월,25200,28000,10.0,3012,1,10.0,,"《MCP 실전 활용 & 서버 개발 핵심 가이드》는 단순한 AI 활용법을 넘어 MCP의 핵심 원리를 이해하고, 이를 통해 나만의 MCP 서비스와 서버를 직접 구축하는 실질적인 경험을 제공합니다. 기초 사용법부터 심화 활용..."
챗GPT 구구단,https://www.yes24.com/product/goods/174080422,4060을 위한 가장 쉬운 AI 클래스,유경식(피치타이탄),여의도책방,2026년 01월,23400,26000,10.0,2514,10,9.6,,"검색이 아닌 ‘대화’로, 기술이 아닌 ‘습관’으로 익히는 AI 파트너십대한민국의 챗GPT 열풍이 거세다. 앱 분석 플랫폼 센서타워에 따르면 챗GPT는 2025년 한국 앱 시장 전체에서 다운로드 1위, 매출 4위를 기록했..."
생성형 AI 활용 업무혁신,https://www.yes24.com/product/goods/176025748,,최재용,미디어북,2026년 01월,20000,20000,,1542,14,10.0,,"「생성형 AI 활용 업무혁신」 이 책은 퇴근 시간을 앞당기는 AI 비서의 실제 활용법, 실무자가 바로 써먹을 수 있는 업무 레시피, 반복 업무를 자동화하는 구글 기반 AI 워크플로우, 감마·챗GPT·마누스AI·노트북LM ..."
대체불가 나노 바나나 완전정복,https://www.yes24.com/product/goods/176990624,300가지 무한 활용법: 나노 바나나와 함께 하는 제미나이/구글 AI 스튜디오/이미지 FX/플로우/베오로 잠자던 디자인 본능 깨우기,이용태,책바세,2026년 02월,24300,27000,10.0,1026,2,10.0,,"〈""한 권으로 끝내는 ""나노 바나나"" 이미지·디자인 제작의 모든 것"" 〉〈30년 경력, 최고의 AI 전문가가 쓴, 모든 직업군에서 바로 써먹는 실무형 이미지(사진/그림/놀이/의학/미용/패션/건축/타이포/자동차/PPT/제..."
핸즈온 LLM,https://www.yes24.com/product/goods/146828240,"프롬프트 엔지니어링부터 임베딩, 시맨틱 검색, 미세 튜닝까지, 손에 잡히는 LLM 개념",제이 알아마르,한빛미디어,2025년 06월,34200,38000,10.0,6954,21,9.7,,"LLM, 눈으로 익히고 손으로 구현하라. 트랜스포머 구조부터 시맨틱 검색, 미세 튜닝, 프롬프트 엔지니어링까지 그림과 실전 코드로 만들면서 배우는 대규모 언어 모델의 모든 것『핸즈온 LLM』은 LLM을 쓰는 것을 넘..."
혼자 AI로 끝까지 완성하는 풀스택 온라인 게임 개발,https://www.yes24.com/product/goods/174304314,AI에게 “만들어줘”만 외치다 포기한 초보자를 위한 완성형 게임 개발 로드맵,정금호,로드북,2026년 01월,27000,30000,10.0,1254,0,,,"『 혼자 AI로 끝까지 완성하는 풀스택 온라인 게임 개발』은 AI와 협업해 기획부터 개발, 실시간 연동, 배포, 출시까지 혼자서도 완주하는 풀스택 온라인 게임 개발 로드맵이다. 독자가 따라할 수 있도록 단계별로, ..."
콘텐츠 디자인은 피그마 with AI,https://www.yes24.com/product/goods/150110126,"마케팅, 기획을 위한 올인원 디자인 플랫폼! 기초 사용법, 플러그인, 인공지능 기능부터 배너, 카드 뉴스 템플릿, 상세페이지 자동화까지",김선영,골든래빗,2025년 08월,23400,26000,10.0,5706,9,9.8,#크레마클럽에있어요,"★ 디자인이 어렵다고요? 디자인이 필요한 모든 순간, 피그마와 함께하세요★ 피그마 버즈, 드로우, AI 기능 등 최신 업데이트 반영★ 기초부터 심화까지 단 한 권으로 피그마 콘텐츠 디자인 완성하기디자인, 아직도..."
혼자서도 척척 해내는 AI 에이전트 만들기 with 랭체인 & 랭그래프,https://www.yes24.com/product/goods/172726927,"프롬프트 설계, 오케스트레이션, 허깅 페이스 및 Ollama 연동, MCP 구성, LangSmith 평가까지",강병진,제이펍,2026년 01월,25200,28000,10.0,1908,0,,,"써보는 데서 멈추지 않고 설계와 구현까지 이끄는 LLM 실전 가이드 이 책은 LangChain으로 문서 기반 RAG 시스템을, LangGraph로 멀티스텝 에이전트를 구현하는 과정을 다룬다. 단순한 코드 나열이 아니라 왜 그렇게..."
미드저니 마스터 바이블,https://www.yes24.com/product/goods/145099755,,조남경,비엘북스,2025년 04월,29700,33000,10.0,5694,8,9.5,,"V7으로 더욱 강력해진 최고의 이미지 생성 AI 툴, 미드저니!“너는 상상만 해. 나머지는 미드저니(Midjourney)에게 맡겨!”이 책은 미드저니(Midjourney)를 처음 접하는 입문자부터, 창작의 깊이를 더하고 싶은 고급..."
올라마와 오픈소스 LLM을 활용한 AI 에이전트 개발 입문,https://www.yes24.com/product/goods/168727208,로컬 LLM을 활용한 보안과 비용 걱정 없는 지능형 AI 에이전트 구축,서영배,위키북스,2026년 01월,25200,28000,10.0,2148,2,3.0,,"급작스럽게 다가온 AI 시대를 헤쳐나가기 위한 실용적인 가이드!이 책은 AI 전공자가 아닌 일반 개발자들이 AI 프로그래밍에 입문할 수 있도록 세심하게 구성했습니다. 단순히 랭체인과 에이전트, MCP의 사용법만을 ..."
"요즘 AI 에이전트 개발, LLM RAG ADK MCP LangChain A2A LangGraph",https://www.yes24.com/product/goods/150701473,"60가지 예제로 배우는 인공지능 에이전트 개발, 싱글 Agent부터 멀티 Agent 시스템 설계 및 협업 방식까지",박승규,골든래빗,2025년 08월,28800,32000,10.0,8583,0,,#크레마클럽에있어요,★ AI 에이전트 실전 실무 개발자가 선사하는★ 싱글 에이전트부터 멀티 에이전트까지 ★ 60가지 예제로 배우는 실전 개발 비법을 만나자!이 책은 실무에서 AI 에이전트를 개발하는 저자가 쌓은 모든 노하우를 녹여 ...
AI로 7일 만에 사업 시작하기,https://www.yes24.com/product/goods/146828776,,김다솔,길벗,2025년 06월,19800,22000,10.0,8340,51,9.2,,"사람 한 명 뽑을 여유는 없지만, 일은 많고, 시간은 없고, 손은 모자랄 때 ‘AI’가 바로 그 자리를 채워줄 수 있다. 『AI로 7일 만에 사업 시작하기』는 생성형 AI를 단순한 툴이 아닌 직원, 팀원, 파트너로 채용하..."
이론부터 실전까지 AI 에이전트 완벽 마스터,https://www.yes24.com/product/goods/167253365,LLM·RAG 기본부터 지식 그래프·강화학습·멀티 에이전트 심화까지,살바토레 라이엘리,프리렉,2025년 11월,37800,42000,10.0,3270,3,10.0,,"AI 에이전트 개발의 A to Z 단 한 권으로 끝내는 LLM 기반 에이전트 이론과 실전의 모든 것! 이 책은 AI 에이전트의 기반이 되는 텍스트 인코딩과 트랜스포머의 원리부터 시작해 LLM, RAG, 지식 그래프, 강화학습, ..."
한 걸음 앞선 일잘러가 지금 꼭 알아야 할 바이브 코딩 with 커서,https://www.yes24.com/product/goods/176548558,"웹 명함 제작부터 사내 스터디 관리 플랫폼까지 커서, n8n, MCP로 완성하는 나의 첫 바이브 코딩 올인원 실습서",김태헌,길벗,2026년 02월,27000,30000,10.0,828,1,10.0,,"뒤처지기 싫은 일잘러를 위한! 제로부터 시작하는 바이브 코딩 입문,웹 명함 제작부터 사내 스터디 관리 플랫폼까지 커서, n8n, MCP로 완성하는 올인원 실습서바이브 코딩은 AI를 단순한 자동화 도구가 아닌 함께 사..."
밑바닥부터 시작하는 딥러닝 2,https://www.yes24.com/product/goods/72173703,파이썬으로 직접 구현하며 배우는 순환 신경망과 자연어 처리,사이토 고키,한빛미디어,2019년 05월,26100,29000,10.0,4887,45,9.9,"#분철, #컴공, #개발자, #자연어처리, #순환신경망",직접 구현하면서 배우는 본격 딥러닝 입문서 이번에는 순환 신경망과 자연어 처리다! 이 책은 『밑바닥부터 시작하는 딥러닝』에서 다루지 못했던 순환 신경망(RNN)을 자연어 처리와 시계열 데이터 처리에 사용하는 ...
리더는 AI에게 질문하지 않는다,https://www.yes24.com/product/goods/168871803,새로운 가치를 만드는 리더를 위한 프롬프트 설계와 큐레이션 기술,김희연,북피움,2026년 01월,20700,23000,10.0,2115,0,,,"“기술이 빠를수록, 사람은 더 깊어야 한다.”- 마이클 트루엘(AI 기반 코드 편집기 ‘커서’ 공동 창업자 겸 CEO)AI 황금광 시대, AI 잘 쓰는 리더의 탄생!이제 스티브 잡스, 피터 드러커, 소크라테스를 회의실로 ..."
요즘 우아한 AI 개발,https://www.yes24.com/product/goods/143753715,"머신러닝에서 GPT, LLM, 생성형 AI, MLOps까지, 배달의민족 실제 프로젝트로 엿보는 AI 활용 이야기",우아한형제들,골든래빗,2025년 04월,21600,24000,10.0,9900,14,9.7,#크레마클럽에있어요,"‘우아한형제들’의 진짜 개발 이야기, AI와 함께 돌아왔습니다!배달의민족 메뉴 추천 AI부터 배달 로봇까지, 현실이 된 AI 기술 이야기 수록우아한형제들의 생생한 개발 이야기를 엮은 『요즘 우아한 개발』이 AI ..."
나노바나나로 AI툰 제작하기,https://www.yes24.com/product/goods/177114666,,김한재,비엘북스,2026년 02월,28800,32000,10.0,1101,2,10.0,,"캐릭터 일관성부터 자유로운 공간 연출까지, 구글 ‘나노바나나’로 완성는 AI툰 제작의 모든 것!이제는 AI 창작의 시대입니다. 하지만 많은 사람은 ‘그럴듯한 이미지 한 장’을 만드는 데서 멈추곤 합니다. 웹툰 ..."
한 권으로 끝내는 실전 LLM 파인튜닝,https://www.yes24.com/product/goods/176913080,GPT 원리부터 Gemma 2 · Llama 3 · Whisper · Qwen2-VL 파인튜닝 및 vLLM 서빙까지,강다솔,위키북스,2026년 02월,28800,32000,10.0,684,0,,,"실무 현장에서 바로 쓰는 파인튜닝ㆍPEFTㆍvLLM 서빙, 텍스트를 넘어 멀티모달까지!『한 권으로 끝내는 실전 LLM 파인튜닝』은 AI 기술의 최전선에서 필요한 LLM 파인튜닝의 모든 과정을 이론부터 실습까지 단계별로..."
소프트웨어 아키텍처 The Basics,https://www.yes24.com/product/goods/167431026,모던 엔지니어링을 위한 소프트웨어 아키텍처의 모든 것,마크 리처즈,한빛미디어,2025년 11월,38700,43000,10.0,1614,15,9.9,,"막막했던 아키텍처가 쉬워지는 실무 지침서생성형 AI, 클라우드에 맞춰 새롭게 돌아오다경력을 키우고 싶은 개발자라면 누구나 소프트웨어 아키텍트를 꿈꾼다. 그렇다면 소프트웨어 아키텍트가 되려면 뭘 알아야 할..."
벡터 데이터베이스 설계와 구축,https://www.yes24.com/product/goods/142771026,Vector DBMS & RAG,송한림,아이리포,2025년 03월,16020,17800,10.0,5319,6,9.7,,"최근 팔란티어와 같은 AI 소프트웨어 기업들이 국방 및 의료 분야에서 두각을 나타내고 있으며, 그 핵심에는 데이터 기반 설계와 고도화된 분석기법이 자리하고 있다. AI 시스템의 성능을 극대화하려면 비정형 데이..."
AI 영화 제작,https://www.yes24.com/product/goods/136304038,"제작비 부담 No, 3일 만에 완성! 광고, 게임부터 3D 애니메이션까지",민지영,길벗,2024년 11월,24300,27000,10.0,5238,84,9.7,#분철,"제작비 부담 No, 3일 만에 완성! 광고, 게임부터 3D 애니메이션까지미드저니, 챗GPT, 루마 AI, 캡컷, 프리미어 프로 활용법 수록AI 도구를 활용해 촬영 없이 영상을 만드는 방법은 지금 영상 제작 업계에서 빠르게 ..."
팔리는 블로그 & SNS 글쓰기 with 챗GPT,https://www.yes24.com/product/goods/167694445,"콘텐츠 아이디어부터 이미지까지, 하루 30분으로 1일 1 포스팅 가능한 AI 활용법",홍순성,한빛미디어,2025년 12월,22500,25000,10.0,1848,12,10.0,,"아이디어부터 글쓰기, 썸네일까지 포스팅 하나를 뚝딱 완성하는 데 필요한 도구는 챗GPT 딱 하나!인플루언서 노리고 만든 블로그, SNS 작심삼일로 방치되고 있다면?꾸준히 채널 운영은 해왔지만 이제 무엇을 어떻게 ..."
무조건 도움되는 유아교사 업무경감,https://www.yes24.com/product/goods/174197933,에듀테크 & AI 활용,김나영,교육과실천,2026년 01월,22950,25500,10.0,1968,7,10.0,,"이 책만 차근차근 따라오면업무과다 N0! 업무경감 YES!디지털 도구들을 단순히 어떻게 사용하는지 설명하는 것에 그치지 않고, 교사의 일상 속에서 업무경감으로 이어지는 구체적인 사례를 공개하는 단 한 권의 책!..."
금융업 AI 플레이북,https://www.yes24.com/product/goods/175301361,"AI 시대, 금융 현장의 실전 가이드",임태중,경향비피,2026년 01월,22500,25000,10.0,1233,0,,,"AI 시대, 금융 현장의 새로운 표준을 제시하다AI는 더 이상 특정 산업이나 기술 영역의 문제가 아니다. 금융업은 이미 AI로 인해 업무 방식과 경쟁 구조가 빠르게 바뀌고 있다. 글로벌 금융사들은 대출 심사, 리스크..."
요즘 바이브 코딩 깃허브 코파일럿 31가지 프로그램 만들기,https://www.yes24.com/product/goods/167428992,"인공지능 코딩, AI 포트폴리오, 바탕화면 정리 앱, PDF 편집기, 이메일 자동화, 주식 크롤링, QR 코드 생성기, 노션 스타일 게시판, 대시보드 만들기, 블로그 만들기",박현규,골든래빗,2025년 12월,21600,24000,10.0,2574,4,10.0,#크레마클럽에있어요,"월 10달러로 깃허브 코파일럿을 300% 활용해보세요, 당신의 아이디어를 바로 애플리케이션으로 만들어보세요!랜딩 페이지부터 블로그 만들기까지, 코딩 1도 몰라도 바로 시작할 수 있습니다!깃허브 코파일럿과 대화..."
출근길에 읽고 퇴근길에 완성하는 바이브 코딩,https://www.yes24.com/product/goods/175226781,"IT 지식부터 웹사이트, 챗봇 앱 개발까지",노승헌,더 타이즈,2026년 02월,19800,22000,10.0,942,0,,,"챗GPT를 사용해 봤다면 누구나 완성하는 바이브 코딩!자투리 시간에 던지는 프롬프트 한 줄,세상에 없던 '나만의 앱'이 당신의 손에서 탄생합니다.이제 코딩은 복잡한 문법을 외우는 일이 아니라, AI에 의도를 전달..."
Do it! 커서로 시작하는 AI 코딩 입문,https://www.yes24.com/product/goods/154286556,"웹 앱 제작, 데이터베이스 연동, 프롬프트 작성법, MCP 연결, 바이브 코딩, 서비스 배포, 깃허브 활용",고경희,이지스퍼블리싱,2025년 09월,20700,23000,10.0,4212,18,9.9,,"웹 개발 기초부터 AI 코딩 서비스인 커서 활용법까지!AI 코딩을 시작하는 모두를 위한 가장 친절한 입문서AI가 코드를 생성하는 시대, 이제 복잡한 문법을 외우지 않아도 웹 개발을 시작할 수 있다. 《Do it! 커서로..."
AI 자율학습 밑바닥부터 배우는 AI 에이전트,https://www.yes24.com/product/goods/167584729,프레임워크 없이 5가지 워크플로 패턴으로 배우는 에이전트 설계 원리,다비드스튜디오,길벗,2025년 12월,21600,24000,10.0,1779,17,9.5,,화려한 프레임워크보다 중요한 것은 로직!기본에 충실하게 배우는 에이전트 설계 원리요즘 AI 에이전트가 대세입니다. 사용자를 대신해 방대한 자료를 조사·정리하고 복잡한 코드도 척척 작성하는 에이전트가 다양한...
"2022 개정 교육과정 평가, AI로 날개를 달다 (개념기반 교육과정)",https://www.yes24.com/product/goods/130156178,"백워드 설계, 루브릭, 성장중심평가, AI코스웨어, 사회정서학습, IB교육, 평가와 피드백 지원 플랫폼",지미정,앤써북,2024년 09월,18900,21000,10.0,17721,18,9.9,,"수업의 변화는 평가 패러다임을 바꾸는 것부터 시작된다. 『2022 개정 교육과정 평가, AI로 날개를 달다』 책에는 9명의 현직 교사가 교육과정과 평가를 AI로 풀어가는 실천 사례와 그 과정을 진솔하게 고스란히 담..."
프롬프트를 만드는 프롬프트 GPTs & Gems,https://www.yes24.com/product/goods/169672758,,민진홍,성안당,2025년 12월,24300,27000,10.0,2316,43,10.0,,"프롬프트를 만드는 상위 프롬프트, 메타 플롬프트를 만들어 업무에 실속있게 활용할 수 있는 메타 프롬프트 지침서가 나왔다. 반복되는 업무를 템플릿화하여 사용할 수 있는, AI를 마치 전속 비서처럼 업무 도우미로..."
이게 되네? 업무 자동화 미친 활용 앱스 스크립트 with 챗GPT,https://www.yes24.com/product/goods/135722461,"업무부터 일상까지, 3일 작업 한 방에 처리하는 45가지 미친 자동화 치트키",서휘승,골든래빗,2024년 11월,28800,32000,10.0,3480,3,10.0,"#크레마클럽에있어요, #챗GPT업무활용, #업무능력향상, #일잘러업무스킬","버튼 한 번 딸깍하면 3일 치 반복 업무 뚝딱!혁신적인 업무 자동화를 원한다면45가지 미친 자동화 예제 지금 만나보세요!매일 반복하는 업무, 이제는 자동화로 해결하자! ‘자동화는 어렵고 코드는 복잡해...'라고 ..."
AI 영상 제작,https://www.yes24.com/product/goods/127102247,속지 않을 자신 있나요? 숏폼부터 딥페이크까지,민지영,길벗,2024년 06월,22500,25000,10.0,9792,94,9.7,#분철,"속지 않을 자신 있나요? 숏폼부터 딥페이크까지 미드저니, 챗GPT부터 캡컷, 피카, 스테이블 디퓨전, 스테이블 비디오까지 활용법 수록쇼츠, 릴스, 틱톡을 자유자재로! 누구나 쉽고 빠르게 콘텐츠 제작! 놀라운 딥페..."
"요즘 바이브 코딩 v0 + 커서 입문 PRD 기획·개발·배포, 일주일 완성",https://www.yes24.com/product/goods/168451090,"인공지능 코딩, vercel, 기획, PRD, 설계, 인증, 배포, QR·바코드 생성 앱, 챗GPT, DeepL 번역 클론 앱, API, 리팩터링, 수파베이스 연동",김동학,골든래빗,2026년 01월,25200,28000,10.0,1974,5,10.0,,"PRD 퀄리티가 기획·개발·배포를 좌우합니다!트렌디한 UI는 v0, 백엔드는 커서, 데이터베이스는 수파베이스, 배포는 버셀까지 한 번에!거기에 PRD 작성하는 노하우까지~ 개발의 모든 조각이 자동으로 맞물리는 진짜 ..."
교실로 온 ON 제미나이,https://www.yes24.com/product/goods/177808924,"현장에서 바로 쓰는 인공지능 50가지 활용 가이드 바이브코딩, 라이브, 가이드학습, 스토리북",박찬,다빈치books,2026년 03월,19800,22000,10.0,300,10,10.0,,"“업무는 가볍게, 수업은 똑똑하게.”『교실로 ON 제미나이』는 생성형 AI인 구글 제미나이(Gemini)를 교실에서 함께 일하는 보조교사로 활용하는 방법을 담은 현장 중심 실전 가이드북입니다.제미나이를 아는 것과 ..."
혁펜하임의 Easy! 딥러닝,https://www.yes24.com/product/goods/139734696,,혁펜하임,북엔드,2024년 11월,31500,35000,10.0,5136,31,9.9,#분철,"『혁펜하임의 Easy! 딥러닝』은 딥러닝을 처음 접하는 독자들을 위한 필수 가이드로, 인공지능의 기초 개념부터 CNN, RNN 등 딥러닝의 주요 주제를 폭넓게 다루고 있다. KAIST 박사이자 유튜버로 활동 중인 혁펜하임..."
LUVIT♥ 파이썬으로 만드는 초경량 한국어 LLM 챗봇,https://www.yes24.com/product/goods/170374556,구글 코랩으로 실습하는 데이터 분석 + 챗봇 + LLM,김규석,제이펍,2026년 01월,25200,28000,10.0,1560,1,10.0,,"AI에 묻는 법을 넘어, AI를 이해하고 만드는 첫 번째 책ChatGPT를 쓰는 사람은 많아졌지만, ‘AI가 어떻게 작동하는지’를 이해하는 사람은 여전히 많지 않다. 이 책은 파이썬 기초부터 데이터 분석, 자연어 처리, ..."
테디노트의 랭체인을 활용한 RAG 비법노트 : 기본편,https://www.yes24.com/product/goods/146874665,8단계 RAG 파이프라인으로 LLM 성능을 끌어올리는 RAG 기본부터 실제 챗봇 제작까지,이경록,리코멘드,2025년 05월,30600,34000,10.0,7296,1,10.0,#분철,"8단계 RAG 파이프라인으로 LLM의 성능을 50점에서 90점으로 끌어올리는 RAG 시스템ChatGPT와 같은 LLM은 다양한 업무에 활용되지만, 최신 정보나 특정 문서 내용을 정확히 반영하지 못하는 한계가 있다. 이를 극복하..."
AI 로봇 구조 교과서,https://www.yes24.com/product/goods/172059324,"엔비디아 · Figure AI · 테슬라, AI 산업의 패권을 결정할 로봇 메커니즘 해설",유승남,보누스,2026년 01월,20700,23000,10.0,1392,15,10.0,#크레마클럽에있어요,"현직 로봇 연구자가 인공지능 로봇의 구조와 원리를 상세히 설명한 책이다. 엔비디아, 테슬라, 구글 등 글로벌 빅테크 기업들이 주도하는 AI 로봇 산업의 최신 기술 트렌드는 물론이고 로봇이 세상을 감각하고 이해..."
밑바닥부터 시작하는 딥러닝 5,https://www.yes24.com/product/goods/134648807,10단계로 익히는 이미지 생성 모델의 원리,사이토 고키,한빛미디어,2024년 10월,29700,33000,10.0,3444,20,9.7,"#머신러닝, #기계학습, #신경망, #파이썬, #생성형AI","10단계로 알아보는 이미지 생성 모델의 원리!생성형 AI와 함께하는 『밑바닥부터 시작하는 딥러닝 5』 이 책은 정규 분포와 최대 가능도 추정과 같은 기본 개념에서 출발하여 가우스 혼합 모델, 변이형 오토인코더(V..."
소라 2 AI,https://www.yes24.com/product/goods/175460151,매일매일 쓰는 챗GPT 영상 생성 AI,박범희,생능북스,2026년 02월,22500,25000,10.0,840,13,10.0,,"영상 생성 공식, 챗GPT+소라 2가장 현실적인 물리적 동작과 통합 오디오로 영상 생성 노하우매일매일 활용할 수 있는 챗GPT 영상 생성 모델인 소라 2로, 이제 복잡한 영상 제작도 손쉽게 완성하세요. 가장 현실적인 ..."
AI 자율학습  커서ⅹAI로 완성하는 나만의 웹 서비스,https://www.yes24.com/product/goods/167584726,Cursor와 Gemini API로  기획부터 개발ㆍ배포까지 배우는 실무형 바이브 코딩,성구(강성규),길벗,2025년 12월,21600,24000,10.0,2298,23,9.9,,"AI와 함께 만드는 나만의 웹 서비스Cursor × Gemini API로 기획부터 배포까지 완성하는 실전 가이드AI 덕분에 개발의 문턱은 낮아졌지만, 기본 개념 없이 모든 것을 맡길 수는 없습니다. 그러나 HTML·CSS·JavaScript..."
AI 지도책,https://www.yes24.com/product/goods/115782215,세계의 부와 권력을 재편하는 인공지능의 실체,케이트 크로퍼드,소소의책,2022년 11월,18900,21000,10.0,1818,60,9.5,"#국립중앙도서관사서추천, #기술혁신, #인공지능","지도처럼 한눈에 들여다보는 인공지능의 지형학AI를 둘러싼 부와 권력, 정의의 문제를 생각하고 그 대안을 찾는다인공지능이 정치와 경제 활동에 깊이 스며들고 지구의 자원을 고갈시키면 무슨 일이 일어날까? 우리..."
김변호사의 스마트한 AI 활용법 2,https://www.yes24.com/product/goods/168261519,개업 변호사를 위한 업무 혁신 가이드,김변호사 팀,박영사,2026년 01월,24000,24000,,930,2,10.0,,"저자진은 실제로 개업을 고민하거나 이미 운영 중인 변호사들입니다. 현장에서 부딪힌 시행착오, 성과로 증명된 프로세스, 내일 바로 적용할 수 있는 서식과 템플릿을 담았습니다. 책이 끝나면 일이 시작되도록. 우..."
일반통계학,https://www.yes24.com/product/goods/143081338,,서울대학교 자연과학대학 통계학과,한빛아카데미,2025년 03월,35000,35000,,2622,0,,,"빅데이터와 인공지능 시대, 통계학의 정석 데이터(자료)가 산업과 연구의 중심이 된 지금, 통계학은 이를 효과적으로 분석하고 활용하는 데 필수적인 학문이다. 『일반통계학(3판)』은 통계의 기본 개념을 체계적으..."
밑바닥부터 시작하는 딥러닝 4,https://www.yes24.com/product/goods/124640233,직접 구현하며 익히는 강화 학습 알고리즘,사이토 고키,한빛미디어,2024년 01월,27000,30000,10.0,3594,13,9.8,,"『밑바닥부터 시작하는 딥러닝』 시리즈, 이번엔 강화 학습이다! 강화 학습 핵심 이론부터 문제 풀이, 심층 강화 학습까지 한 권에!이 책의 특징은 제목 그대로 ‘밑바닥부터 만들어가는 것’이다. 속을 알 수 없는 ..."
AI로 완성하는 고수익 유튜브 운영 비법,https://www.yes24.com/product/goods/174682706,,현승효(디스이즈머니),시대인,2026년 01월,16200,18000,10.0,756,2,10.0,,"초보자도 성공하는 AI 시대, 유튜브 채널 운영 전략과 수익화!AI 도구로 제작 시간은 줄이고,알고리즘 작동과 검색 노출 원리를 익혀 단기간에 조회수를 끌어올리는 실전 가이드유튜브를 시작하고 싶지만 이미 늦은 ..."
챗GPT와 함께 하는 SNS 셀프마케팅 & 브랜딩,https://www.yes24.com/product/goods/164773674,블로그 인스타그램 유튜브 월 천만 원 계정 기획과 전략 with AI,이보영,휴먼하우스,2025년 11월,18900,21000,10.0,1914,1,10.0,,"챗GPT를 활용한 SNS 셀프마케팅과 브랜딩SNS를 이용해 누구나 쉽게 셀프마케팅을 하는 방법을 설명했다. 마케팅을 위한 SNS 기획과 전략, 콘셉트 찾기, 상위 노출을 위한 콘텐츠 작성, 방문자와 팬을 만드는 전략, ..."
